%timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1860000,1860000,-0.000872295,-0.00246558,-0.000531321,0.0,0.0,0.0,0.0,0.0
1960000,1960000,-0.000215983,0.722803,0.00134728,0.08,0.0,0.0,0.0,-1.0
2060000,2060000,-0.00552568,0.72457,0.00286176,0.08,0.0,0.0,0.0,-1.0
2164000,2164000,-0.00381552,0.723967,-0.00100366,0.08,0.0,0.0,0.0,-1.0
2264000,2264000,0.00494855,0.72571,-0.00255563,0.08,0.0,0.0,0.0,-1.0
2364000,2364000,0.000432632,0.72215,-0.000573234,0.08,0.0,0.0,0.0,-1.0
2460000,2460000,0.00103682,0.721715,-0.00303345,0.08,0.0,0.0,0.0,-1.0
2564000,2564000,-0.00241466,0.7142,-0.000595858,0.08,0.0,0.0,0.0,-1.0
2664000,2664000,0.00349185,0.721851,-0.00054807,0.08,0.0,0.0,0.0,-1.0
2760000,2760000,-0.00014806,0.721571,0.00228286,0.08,0.0,0.0,0.0,-1.0
2864000,2864000,-0.0085514,0.722286,-0.00103892,0.08,0.0,0.0,0.0,-1.0
2960000,2960000,-0.00308512,0.718304,-0.00236964,0.08,0.0,0.0,0.0,-1.0
3064000,3064000,0.00451701,0.727448,-0.00426733,0.08,0.0,0.0,0.0,-1.0
3160000,3160000,0.000664306,0.717383,6.67581e-05,0.08,0.0,0.0,0.0,-1.0
3260000,3260000,-0.000416265,0.72745,0.000849941,0.08,0.0,0.0,0.0,-1.0
3360000,3360000,0.00240124,0.723012,-0.00270702,0.08,0.0,0.0,0.0,-1.0
3460000,3460000,-0.000451375,0.7214,0.00114409,0.08,0.0,0.0,0.0,-1.0
3560000,3560000,-0.00826891,0.726651,7.43877e-05,0.08,0.0,0.0,0.0,-1.0
3660000,3660000,0.0023542,0.711998,-0.00217922,0.08,0.0,0.0,0.0,-1.0
3760000,3760000,0.00342952,0.722089,0.00448672,0.08,0.0,0.0,0.0,-1.0
3860000,3860000,-0.000320885,0.719735,0.00199854,0.08,0.0,0.0,0.0,-1.0
3960000,3960000,0.00056646,0.730088,-0.00099342,0.08,0.0,0.0,0.0,-1.0
4060000,4060000,0.00165292,0.72756,-0.000639699,0.08,0.0,0.0,0.0,-1.0
4160000,4160000,0.00194387,0.722812,0.00362898,0.08,0.0,0.0,0.0,-1.0
4260000,4260000,0.00101349,0.717675,0.0043465,0.08,0.0,0.0,0.0,-1.0
4364000,4364000,4.50274e-05,0.722154,0.000924144,0.08,0.0,0.0,0.0,-1.0
4460000,4460000,-0.00013457,0.717725,0.000825964,0.08,0.0,0.0,0.0,-1.0
4560000,4560000,0.00252438,0.7179,0.00549536,0.08,0.0,0.0,0.0,-1.0
4660000,4660000,-0.00324157,0.723402,0.000504762,0.08,0.0,0.0,0.0,-1.0
4764000,4764000,-0.00274115,0.72798,0.000478074,0.08,0.0,0.0,0.0,-1.0
4860000,4860000,-0.00791344,0.723525,-0.00177707,0.08,0.0,0.0,0.0,-1.0
4960000,4960000,-0.00157747,0.719872,-0.000606853,0.08,0.0,0.0,0.0,-1.0
5060000,5060000,0.00271479,0.725927,0.00226879,0.08,0.0,0.0,0.0,-1.0
5160000,5160000,0.00279133,0.722416,-0.000619213,0.08,0.0,0.0,0.0,-1.0
5260000,5260000,-0.000630353,0.72339,0.00089796,0.08,0.0,0.0,0.0,-1.0
5364000,5364000,0.0015654,0.716538,0.000556336,0.08,0.0,0.0,0.0,-1.0
5464000,5464000,0.00281053,0.715218,0.00289812,0.08,0.0,0.0,0.0,-1.0
5564000,5564000,-0.00361767,0.726646,0.000790377,0.08,0.0,0.0,0.0,-1.0
5664000,5664000,-0.00242356,0.718144,0.00241073,0.08,0.0,0.0,0.0,-1.0
5764000,5764000,-0.0039347,0.724677,0.00357229,0.08,0.0,0.0,0.0,-1.0
5864000,5864000,-0.00114534,0.720439,-0.000760481,0.08,0.0,0.0,0.0,-1.0
5960000,5960000,-0.00340407,0.722997,0.000901093,0.08,0.0,0.0,0.0,-1.0
6064000,6064000,-0.0022527,0.708833,-0.000880318,0.08,0.0,0.0,0.0,-1.0
6164000,6164000,-0.00456925,0.726937,-0.00439413,0.08,0.0,0.0,0.0,-1.0
6260000,6260000,-0.00226225,0.717558,-0.00114788,0.08,0.0,0.0,0.0,-1.0
6360000,6360000,-0.00427172,0.72456,0.00198708,0.08,0.0,0.0,0.0,-1.0
6464000,6464000,0.00486674,0.721193,0.000607549,0.08,0.0,0.0,0.0,-1.0
6560000,6560000,0.00186322,0.722627,0.00194235,0.08,0.0,0.0,0.0,-1.0
6664000,6664000,0.00100675,0.72451,0.00195762,0.08,0.0,0.0,0.0,-1.0
6760000,6760000,0.00063554,0.722628,-0.00106497,0.08,0.0,0.0,0.0,-1.0
6860000,6860000,-0.000392709,0.724716,0.00317495,0.08,0.0,0.0,0.0,-1.0
6960000,6960000,-0.00279716,0.721888,0.0021448,0.08,0.0,0.0,0.0,-1.0
7060000,7060000,-0.00463886,0.722817,-0.00059827,0.08,0.0,0.0,0.0,-1.0
7160000,7160000,-0.00106886,0.728247,0.000916078,0.08,0.0,0.0,0.0,-1.0
7264000,7264000,-0.00669937,0.720473,-2.42426e-05,0.08,0.0,0.0,0.0,-1.0
7364000,7364000,0.00408602,0.723586,0.000132841,0.08,0.0,0.0,0.0,-1.0
7464000,7464000,-0.00343195,0.720205,-0.00256681,0.08,0.0,0.0,0.0,-1.0
7560000,7560000,-0.000592228,0.71857,0.00202138,0.08,0.0,0.0,0.0,-1.0
7660000,7660000,-0.0020244,0.727879,-0.00152969,0.08,0.0,0.0,0.0,-1.0
7764000,7764000,0.00536348,0.722047,0.000499167,0.08,0.0,0.0,0.0,-1.0
7864000,7864000,-0.00672298,0.723891,-0.00229748,0.08,0.0,0.0,0.0,-1.0
7964000,7964000,0.00177345,0.72084,-0.000152329,0.08,0.0,0.0,0.0,-1.0
8064000,8064000,0.00132659,0.716887,-0.00319171,0.08,0.0,0.0,0.0,-1.0
8160000,8160000,-0.000783657,0.719568,-0.0011591,0.08,0.0,0.0,0.0,-1.0
8264000,8264000,0.0029771,0.724064,3.95266e-05,0.08,0.0,0.0,0.0,-1.0
8360000,8360000,0.000736527,0.720543,0.00374456,0.08,0.0,0.0,0.0,-1.0
8460000,8460000,0.00247056,0.723599,-0.00240702,0.08,0.0,0.0,0.0,-1.0
8564000,8564000,-0.00820378,0.726386,-0.0058461,0.08,0.0,0.0,0.0,-1.0
8660000,8660000,0.00348719,0.723457,-0.000162985,0.08,0.0,0.0,0.0,-1.0
8764000,8764000,0.00506586,0.723356,0.00046193,0.08,0.0,0.0,0.0,-1.0
8860000,8860000,-0.000113707,0.717938,-0.00134536,0.08,0.0,0.0,0.0,-1.0
8960000,8960000,-0.00235978,0.716968,0.000424322,0.08,0.0,0.0,0.0,-1.0
9064000,9064000,0.00558453,0.728022,0.00124472,0.08,0.0,0.0,0.0,-1.0
9164000,9164000,-0.0038768,0.724946,0.000544125,0.08,0.0,0.0,0.0,-1.0
9264000,9264000,-0.000743545,0.719459,-0.000583794,0.08,0.0,0.0,0.0,-1.0
9364000,9364000,0.00092998,0.721775,-0.000174897,0.08,0.0,0.0,0.0,-1.0
9464000,9464000,0.00472098,0.717181,0.000576286,0.08,0.0,0.0,0.0,-1.0
9564000,9564000,0.00352757,0.719616,-0.00229528,0.08,0.0,0.0,0.0,-1.0
9664000,9664000,0.00772456,0.723355,-0.00222277,0.08,0.0,0.0,0.0,-1.0
9760000,9760000,0.00127653,0.724315,-0.00153125,0.08,0.0,0.0,0.0,-1.0
9864000,9864000,-0.00286182,0.719826,-0.00291024,0.08,0.0,0.0,0.0,-1.0
9960000,9960000,-0.000804172,0.725318,-0.00222632,0.08,0.0,0.0,0.0,-1.0
10060000,10060000,-0.00268724,0.723111,-0.0011668,0.08,0.0,0.0,0.0,-1.0
10160000,10160000,-0.000816441,0.713145,0.000499252,0.08,0.0,0.0,0.0,-1.0
10260000,10260000,0.00269829,0.723952,-0.00265724,0.08,0.0,0.0,0.0,-1.0
10364000,10364000,0.008803,0.72353,-0.00075686,0.08,0.0,0.0,0.0,-1.0
10464000,10464000,0.000233965,0.720154,-0.00183855,0.08,0.0,0.0,0.0,-1.0
10564000,10564000,-0.000433093,0.724267,0.00196791,0.08,0.0,0.0,0.0,-1.0
10664000,10664000,-0.00185759,0.722123,-0.000238715,0.08,0.0,0.0,0.0,-1.0
