%timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1952000,0.00152821,-0.00262167,0.00982956,0.999812,2.13429e-05,-7.94013e-05,-0.0193616,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
1980000,-0.00998522,0.0048898,0.013563,0.999811,2.74485e-05,-9.70112e-05,-0.0194179,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2012000,-0.00389093,0.00516825,-0.00156936,0.999811,4.48396e-05,-0.000146122,-0.0194433,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2044000,-0.00365445,0.0091719,-0.000769433,0.999811,0.000124141,-8.71423e-05,-0.0194587,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2076000,0.00455795,-0.00365557,0.0170714,0.99981,0.000221913,-0.000135264,-0.0194676,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2108000,0.00137024,-0.00900257,0.00954965,0.999813,0.000326406,-0.000274429,-0.0193119,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2140000,0.00637684,0.0230482,-0.00684897,0.999815,0.00037427,-0.000213559,-0.0192477,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2176000,0.00347572,-0.00483472,-0.00212791,0.999815,0.00037903,-0.000227559,-0.0192173,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2204000,0.00579767,-0.000469319,0.0130967,0.999816,0.000308658,-0.000276423,-0.0191784,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2236000,-0.0072266,0.00656695,0.00714426,0.999817,0.000195892,-0.00022243,-0.0191202,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2268000,-0.0123868,-0.00636456,-0.00037464,0.999818,0.000164046,-0.00027827,-0.0190555,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2300000,-0.00351375,-0.00700124,-0.00128391,0.99982,0.000193034,-0.00033222,-0.0189427,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2332000,-0.00766916,0.00207528,-0.0022415,0.999822,9.03535e-05,-0.000353445,-0.018853,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2364000,-0.00149827,0.0061186,-0.00201211,0.999821,6.10686e-05,-0.000307401,-0.0188916,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2400000,-0.0036765,0.0108238,0.00330324,0.999823,1.4178e-05,-0.000276584,-0.0187899,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2428000,0.0022815,-6.76182e-05,0.00716342,0.999825,1.48852e-05,-0.000285045,-0.0187223,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2460000,0.00158409,-0.00422532,0.00177929,0.999824,0.000110178,-0.000358951,-0.0187443,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2492000,0.00477402,-0.0020429,-0.00976062,0.999825,0.00017458,-0.000428235,-0.0187146,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2528000,0.0121009,0.00702462,-0.00510635,0.999824,0.00020643,-0.000375887,-0.0187721,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2556000,0.00749832,0.00177226,-0.00416035,0.999823,0.000240522,-0.00035951,-0.0187943,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2588000,0.00616737,-0.0002614,-0.00696429,0.999823,0.000211272,-0.000279919,-0.0188002,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2620000,-0.0161825,-0.0056909,0.0107605,0.999823,0.000147783,-0.000350467,-0.0187857,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2652000,-0.00154122,0.00448805,-0.00579811,0.999824,0.000130056,-0.000412662,-0.0187507,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2688000,0.000578183,0.00223064,0.00224857,0.999825,7.49292e-05,-0.000424014,-0.0186892,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2720000,-0.00677125,0.00563789,-0.0124078,0.999827,8.55987e-05,-0.000437219,-0.0185811,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
2748000,0.00787897,0.00449026,0.0103167,0.999828,0.000117833,-0.000411372,-0.0185573,0.99981,-1.43984e-06,-2.24649e-07,-0.0194671,1
