timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1904000,0,473977421,85455940,487997,0,0.25,0.0,73.08,73.11,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2004000,0,473977418,85455942,487998,0,0.25,0.0,69.88,69.91,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2104000,0,473977418,85455941,487996,0,0.25,0.0,66.83,66.86,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2204000,0,473977419,85455940,488001,0,0.25,0.0,63.9,63.94,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2304000,0,473977419,85455941,488002,0,0.25,0.0,62.49,62.53,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2404000,0,473977419,85455938,488008,0,0.25,0.0,59.75,59.79,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2504000,0,473977419,85455941,488005,0,0.25,0.0,57.14,57.18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2604000,0,473977420,85455937,487998,0,0.25,0.0,54.64,54.69,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2704000,0,473977420,85455940,487980,0,0.25,0.0,52.25,52.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2804000,0,473977421,85455940,487993,0,0.25,0.0,49.97,50.02,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
2904000,0,473977420,85455939,488000,0,0.25,0.0,47.79,47.84,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3004000,0,473977420,85455940,488002,0,0.25,0.0,45.7,45.75,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3104000,0,473977420,85455940,487996,0,0.25,0.0,43.7,43.76,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3204000,0,473977420,85455938,487992,0,0.25,0.0,41.8,41.85,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3304000,0,473977421,85455940,487979,0,0.25,0.0,39.97,40.03,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3404000,0,473977420,85455941,487986,0,0.25,0.0,38.23,38.29,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3504000,0,473977420,85455940,487986,0,0.25,0.0,37.39,37.45,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3604000,0,473977418,85455940,487990,0,0.25,0.0,35.76,35.82,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3704000,0,473977420,85455938,487995,0,0.25,0.0,34.2,34.26,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3804000,0,473977419,85455938,488010,0,0.25,0.0,32.71,32.77,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
3904000,0,473977418,85455940,487993,0,0.25,0.0,31.28,31.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4004000,0,473977418,85455939,488009,0,0.25,0.0,29.92,29.99,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4104000,0,473977417,85455940,487993,0,0.25,0.0,28.62,28.69,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4204000,0,473977419,85455940,487989,0,0.25,0.0,27.37,27.45,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4304000,0,473977419,85455938,487996,0,0.25,0.0,26.18,26.26,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4404000,0,473977419,85455937,487986,0,0.25,0.0,25.05,25.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4504000,0,473977417,85455939,488005,0,0.25,0.0,23.96,24.03,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4604000,0,473977420,85455940,487990,0,0.25,0.0,22.92,23.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4704000,0,473977419,85455942,487995,0,0.25,0.0,21.92,22.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4804000,0,473977421,85455940,487991,0,0.25,0.0,20.97,21.05,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
4904000,0,473977422,85455938,487982,0,0.25,0.0,20.51,20.59,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5004000,0,473977420,85455938,487991,0,0.25,0.0,19.62,19.71,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5104000,0,473977421,85455936,487999,0,0.25,0.0,18.78,18.86,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5204000,0,473977419,85455938,488015,0,0.25,0.0,17.96,18.05,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5304000,0,473977418,85455941,488007,0,0.25,0.0,17.19,17.27,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5404000,0,473977420,85455940,488007,0,0.25,0.0,16.44,16.53,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5504000,0,473977419,85455940,488015,0,0.25,0.0,15.73,15.82,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5604000,0,473977419,85455939,487999,0,0.25,0.0,15.06,15.14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5704000,0,473977419,85455939,487997,0,0.25,0.0,14.41,14.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
5804000,0,473977420,85455937,488001,0,0.25,0.0,13.79,13.87,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,0,10
