timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1964000,0,0.0,0.0,-8.41847e-05,-9.50342e-05,0.00714443,-7.21641e-07,-3.36885e-09,0.0,-0.00108278,-0.00173003,-0.000697944,0.00623325,-0.00018041,-8.42212e-07,0.0,-0.0113187,0.00112079,0.00651761,-0.0387396,0.0,0.1,0.000697944,0.447365,1.00059,6.22983,0.750079,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2068000,0,0.0,0.0,-0.000336619,-0.000203606,0.0102756,-7.21641e-07,-3.36885e-09,0.0,-0.00377307,-0.000789847,0.00200149,0.0116662,-0.00018041,-8.42212e-07,0.0,0.0151346,0.0359995,0.0335071,-0.0390273,0.0,0.116745,-0.00200149,0.400146,0.670319,3.49735,0.749403,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2164000,0,0.0,0.0,-0.000662325,-0.0003219,0.0139113,-7.21641e-07,-3.36885e-09,0.0,-0.00320524,-0.0021096,0.00220233,0.0144936,-0.00018041,-8.42212e-07,0.0,-0.0719744,-0.0441035,0.00376402,-0.0384289,0.0,0.100687,-0.00220233,0.362101,0.56474,2.15083,0.747142,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2268000,0,0.0,0.0,-0.000918902,-0.00050625,0.0174846,-7.21641e-07,-3.36885e-09,0.0,-0.00299361,-0.00299436,0.00206954,0.0166049,-0.00018041,-8.42212e-07,0.0,-0.0676024,-0.0609654,0.0215545,-0.0381133,0.0,0.108991,-0.00206954,0.338125,0.506956,1.46863,0.742676,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2364000,0,0.0,0.0,-0.00100203,-0.000737648,0.020555,-7.21641e-07,-3.36885e-09,0.0,-0.00147052,-0.00333361,0.00259679,0.0186842,-0.00018041,-8.42212e-07,0.0,0.0465528,0.0030102,-0.00991388,-0.0377855,0.0,0.108176,-0.00259679,0.31035,0.472856,1.08689,0.735285,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2468000,0,0.0,0.0,-0.000831892,-0.000999609,0.0242805,-7.21641e-07,-3.36885e-09,0.0,0.00101809,-0.00400105,0.00417217,0.0219409,-0.00018041,-8.42212e-07,0.0,0.0804669,0.00120865,0.0306078,-0.0374448,0.0,0.103873,-0.00417217,0.270006,0.445041,0.793841,0.72025,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2564000,0,0.0,0.0,-0.000473066,-0.00120765,0.0265795,-7.21641e-07,-3.36885e-09,0.0,0.00210417,-0.0027075,0.00646936,0.0241757,-0.00018041,-8.42212e-07,0.0,0.0402948,0.0155037,0.0101018,-0.0375577,0.0,0.1,-0.00646936,0.254218,0.436714,0.647208,0.704651,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2668000,0,0.0,0.0,5.62284e-05,-0.00125706,0.0271697,-7.21641e-07,-3.36885e-09,0.0,0.00298073,-0.00248101,0.00581588,0.0213474,-0.00018041,-8.42212e-07,0.0,-0.0182221,-0.0396579,0.0547293,-0.0373736,0.0,0.1,-0.00581588,0.244889,0.437337,0.545702,0.686132,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2764000,0,0.0,0.0,0.000548113,-0.00113263,0.0265888,-7.21641e-07,-3.36885e-09,0.0,0.00354981,-0.000127581,0.0042583,0.0172395,-0.00018041,-8.42212e-07,0.0,0.0578663,0.0556032,-0.0149604,-0.0371833,0.0,0.1,-0.0042583,0.2328,0.437609,0.472018,0.664136,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2868000,0,0.0,0.0,0.000988739,-0.000726404,0.0273834,-7.21641e-07,-3.36885e-09,0.0,0.00317867,0.0021902,0.00427337,0.0162923,-0.00018041,-8.42212e-07,0.0,-0.0679678,-0.0217963,-0.0297332,-0.0371197,0.0,0.1,-0.00427337,0.215296,0.432623,0.407468,0.633215,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
