timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1216000,0.895772,0.0384188,1.78968
1856000,0.901867,0.02927,1.78572
1868000,0.905799,0.0241684,1.78263
1876000,0.902233,0.0274193,1.78236
1888000,0.896356,0.0324998,1.77972
1896000,0.902896,0.0369548,1.78098
1908000,0.895855,0.0342433,1.78791
1916000,0.898824,0.0292007,1.78125
1928000,0.897886,0.0309134,1.79849
1936000,0.902296,0.0379877,1.78663
1948000,0.902026,0.0311356,1.78669
1956000,0.898916,0.032035,1.79427
1968000,0.903328,0.0429392,1.79251
1976000,0.89047,0.0272489,1.78691
1988000,0.905333,0.0300606,1.78879
1996000,0.898707,0.0250558,1.79456
2008000,0.892514,0.0390062,1.78175
2016000,0.904153,0.032682,1.78444
2028000,0.893384,0.031929,1.7912
2036000,0.902608,0.0399778,1.78587
2048000,0.886452,0.0321125,1.78266
2056000,0.892249,0.02567,1.78918
2068000,0.900193,0.0296976,1.78376
2076000,0.898796,0.0340504,1.78611
2088000,0.900157,0.0230322,1.78486
2096000,0.896433,0.0371748,1.78867
2108000,0.894455,0.0322359,1.78595
2116000,0.898643,0.037695,1.7864
2128000,0.894772,0.0306918,1.78917
2136000,0.899413,0.0420254,1.79678
2148000,0.904631,0.035606,1.78765
2156000,0.891118,0.0273007,1.79945
2168000,0.900608,0.0371517,1.77423
2176000,0.895246,0.0398817,1.79434
2188000,0.907227,0.0360904,1.79237
2196000,0.904813,0.032952,1.78995
2208000,0.899262,0.0382104,1.78576
2216000,0.897254,0.037532,1.78237
2228000,0.892841,0.0311035,1.78382
2236000,0.891046,0.0275691,1.78933
2248000,0.897866,0.0340451,1.78108
2256000,0.89736,0.0330189,1.78669
2268000,0.895461,0.0353378,1.7937
2276000,0.897682,0.0381132,1.78233
2288000,0.902852,0.039716,1.79302
2296000,0.898527,0.0404788,1.78133
2308000,0.89902,0.0369013,1.78796
2316000,0.90011,0.0348643,1.78939
2328000,0.906878,0.0299741,1.79279
2336000,0.897817,0.0335247,1.78848
2348000,0.903287,0.0340566,1.78784
2356000,0.901017,0.027124,1.79029
2368000,0.90047,0.035604,1.78024
2376000,0.895765,0.0300376,1.78756
2388000,0.904064,0.0348933,1.79263
2396000,0.889543,0.0380453,1.78228
2408000,0.890568,0.0336169,1.78862
2416000,0.899004,0.0286019,1.78755
2428000,0.900854,0.0277809,1.78864
2436000,0.896017,0.0342554,1.7936
2448000,0.889759,0.0367272,1.786
2456000,0.892426,0.0148352,1.78645
2468000,0.898616,0.0400469,1.78294
2476000,0.897403,0.0327956,1.78343
2488000,0.902116,0.0304171,1.79184
2496000,0.901914,0.0302368,1.78464
