timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
1004000,262187,2097167,262179,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
1736000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1892000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2060000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2888000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3404000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
4412000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
5012000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
6020000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
7028000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
8036000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
9044000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
10052000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11060000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
12068000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
13076000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
14084000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
15092000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
16100000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
17108000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
18116000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
19124000,327723,2162703,327715,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
